Region,average_pp_ratio
Montagny,3.502638176
Monthélie,2.727272727
Montrachet,0.165115791
Montravel,3.614042799
Morey-Saint-Denis,1.135771277
Morgon,3.966500621
Moulin-à-Vent,3.522929663
Moulis-en-Médoc,2.775846246
Muscadet,7.412121212
Muscadet Coteaux de la Loire,7.083333333
Muscadet Côtes de Grandlieu,5.998707777
Muscadet Sèvre et Maine,6.005209754
Muscadet Sèvre et Maine Clisson,3.343333333
Muscat de Beaumes de Venise,3.089285714
Muscat de Rivesaltes,3.543121693
Muscat de Saint-Jean de Minervois,7.25
Musigny,0.188235294
Mâcon,2.933333333
Mâcon La Roche Vineuse,4.574642857
Mâcon Solutré,4.47962963
Mâcon-Azé,3.567536232
Mâcon-Chardonnay,4.747840514
Mâcon-Charnay,4.136554622
Mâcon-Cruzille,5.375
Mâcon-Davayé,4.475
Mâcon-Fuissé,4.666666667
Mâcon-Loché,5.261111111
Mâcon-Lugny,4.866502976
Mâcon-Milly Lamartine,4.796246499
Mâcon-Pierreclos,3.4
Mâcon-Péronne,4.3
Mâcon-Uchizy,5.8
Mâcon-Vergisson,3.909090909
Mâcon-Verze,2.620955166
Mâcon-Villages,5.235351562
Mâcon-Vinzelles,5.313450292
Médoc,4.079161845
Nuits-St.-Georges,1.122059747
Pacherenc du Vic Bilh,4.716666667
Patrimonio,3.804966896
Pauillac,1.14332312
Pays de Loire,5.666666667
Pays d'Oc,7.130458364
Pernand-Vergelesses,1.833612419
Pessac-Léognan,1.946716877
Petit Chablis,4.207146655
Picpoul de Pinet,6.460683761
Pomerol,1.122097721
Pommard,1.203026254
Pouilly-Fuissé,2.640612925
Pouilly-Fumé,3.020949042
Pouilly-Loché,2.822811472
Pouilly-sur-Loire,4.631578947
Pouilly-Vinzelles,3.250528281
Premieres Côtes de Blaye,4.37112069
Premieres Côtes de Bordeaux,5.065973312
Puisseguin Saint-Émilion,3.167142857
Puligny-Montrachet,0.960564754
Pécharmant,4.6525
Quarts de Chaume,1.616071429
Quincy,4.512551313
Rasteau,3.132019116
Reuilly,4.32131446
Rivesaltes,3.032176096
Romanée-St.-Vivant,0.218823529
Rosé d'Anjou,6.670310069
Rosé de Loire,6.158424908
Roussette de Savoie,4.824561404
Rully,2.953770899
Régnié,4.830568155
Sable de Camargue,6.615384615
Saint-Amour,4.240856524
Saint-Aubin,2.150720482
Saint-Bris,6.041666667
Saint-Chinian,5.22471492
Saint-Croix-du-Mont,2.571428571
Sainte-Foy Bordeaux,4.922222222
Saint-Estèphe,2.694738874
Saint-Georges-Saint-Émilion,3.720092593
Saint-Joseph,2.225018719
Saint-Julien,1.152420241
Saint-Mont,4.306096247
Saint-Nicolas-de-Bourgueil,3.163553163
Saint-Péray,2.367857143
Saint-Romain,1.78
Saint-Véran,3.660105584
Saint-Émilion,2.165798577
Sancerre,2.972935583
Santenay,2.176894583
Saumur,4.366581055
Saumur-Champigny,3.24924569
Saussignac,3.461538462
Sauternes,2.207131619
Savennières,2.372368421
Savennières-Roche-Aux-Moines,1.897959184
Savigny-lès-Beaune,2.11313201
Savoie,5.004499365
St.-Romain,2.485714286
Tavel,4.400620374
Touraine,6.068226121
Vacqueyras,3.167489847
Val de Loire,5.982283272
Var,5.98481352
Ventoux,5.220620954
Vin de France,7.115037034
Vin de Liqueur,3.020833333
Vin de Pays Cité de Carcassonne,7.727272727
Vin de Pays de la Haute Vallée du Gassac,2.3
Vin de Pays de la Méditerranée,5.916289593
Vin de Pays de L'Aude,10.2
Vin de Pays de l'Ile de Beauté,5.533333333
Vin de Pays de Vaucluse,8.12962963
Vin de Pays des Alpilles,4.388235294
Vin de Pays des Cévennes,8.108333333
Vin de Pays des Côtes Catalanes,6.40947288
Vin de Pays des Côtes de Gascogne,8.200631313
Vin de Pays des Maures,5.8
Vin de Pays des Portes de Méditerranée,3.777777778
Vin de Pays d'Oc,7.510685776
Vin de Pays du Comté Tolosan,1.459016393
Vin de Pays du Gard,6.740537241
Vin de Pays du Jardin de la France,7.727272727
Vin de Pays du Lot,6.25
Vin de Pays du Val de Cesse,6.357142857
Vin de Pays du Val de Loire,6.968385781
Vin de Pays Var,5.794780113
Vin de Savoie,5.136010558
Vin de Table Francais,5.009615385
Vin Doux Naturel Rasteau,3.757142857
Vin Mousseux,5.658842549
Viré-Clessé,3.279008075
Volnay,1.237107472
Vosne-Romanée,0.957183114
Vougeot,0.846800324
Vouvray,4.286319154
